asin,title,imgUrl,productURL,stars,reviews,price,listPrice,sub_category_id,isBestSeller,boughtInLastMonth
B07STGLY6J,"Cricut Basic Tool Set - Precision Tool Kit for Crafting and DIYs, Perfect for Vinyl, Paper & Iron-on Projects, Great Companion for Cricut Cutting Machines, Core Colors, 10.25 x 6.5 x 0.75, 5-Piece",https://m.media-amazon.com/images/I/71u5TDp0l1L._AC_UL320_.jpg,https://www.amazon.com/dp/B07STGLY6J,4.9,0,10.99,25.19,5,False,2000
B001A42CTW,"Fiskars SoftGrip Detail Craft Knife - 8"" Exacto Knife for Crafting - Multi-Use Exacto Blade Included with Protective Cover",https://m.media-amazon.com/images/I/41jn4bakM9L._AC_UL320_.jpg,https://www.amazon.com/dp/B001A42CTW,4.6,0,5.97,7.99,5,False,3000
B0C6PWRZGK,"2023 New Stamps and Dies for Card Making,Metal Die-Cuts Card Making Supplies,Adult DIY Scrapbooking Arts Crafts Stamping for Gift Easter Valentine's Day Fathers' Day (5659)",https://m.media-amazon.com/images/I/71gBjNIKzqL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C6PWRZGK,4.9,0,11.99,0.0,5,False,0
B09HBVBSMS,"445 PCS Vintage Scrapbook Paper Journaling Scrapbooking Supplies Kit Aesthetic Decorative Craft Paper include 40 Sheet Flowers Stickers for Planner, Bullet Journaling, Junk Journal, Retro Crafts",https://m.media-amazon.com/images/I/81BXujPv3hL._AC_UL320_.jpg,https://www.amazon.com/dp/B09HBVBSMS,4.5,0,11.99,20.99,5,False,1000
B09YRR5W5C,"348 Pcs Scrapbooking Supplies Kit, Vintage Aesthetic Scrapbook Kit for Bullet Junk Journal, Stationery, A6 Grid Notebook, DIY Journaling Supplies, Birthday Craft Gift for Teen Girl Kid Women",https://m.media-amazon.com/images/I/81jboFUKW7L._AC_UL320_.jpg,https://www.amazon.com/dp/B09YRR5W5C,4.5,0,14.99,20.99,5,False,200
B0B58FGF8H,"Art3d 16 Sets Hook and Loop Tape Sticky Back,1 in.x 4 in. Double-Sided Command Adhesive Strip Heavy Duty",https://m.media-amazon.com/images/I/71XjZBhX-8L._AC_UL320_.jpg,https://www.amazon.com/dp/B0B58FGF8H,4.4,0,6.49,0.0,6,True,10000
B0892SWQB5,"Mr. Pen- Safety Pins, Assorted, 300 Pack, Small and Large for Clothes, 5.4 x 4.4 x 0.7 inch",https://m.media-amazon.com/images/I/61lG4r6oGsL._AC_UL320_.jpg,https://www.amazon.com/dp/B0892SWQB5,4.6,0,4.95,5.99,6,True,10000
B07MT89MCW,"GDMINLO Soft Tape Measure Double Scale Body Sewing Flexible Ruler for Weight Loss Medical Body Measurement Sewing Tailor Craft Vinyl Ruler, Has Centimetre Scale on Reverse Side 60-inch（White）",https://m.media-amazon.com/images/I/61vysAVtFBL._AC_UL320_.jpg,https://www.amazon.com/dp/B07MT89MCW,4.8,0,3.59,8.88,6,False,30000
B004ALQ0M2,"Fairfield The Original Poly-Fil Premium Polyester Fiber Fill, Soft Pillow Filler, Stuffed Animals, Toys, Cloud Decorations, and More, Machine-Washable, 32-ounce Bag, White",https://m.media-amazon.com/images/I/81UmvHwHHWL._AC_UL320_.jpg,https://www.amazon.com/dp/B004ALQ0M2,4.8,0,14.87,0.0,6,False,7000
B0992HY6KY,"250 Pack Safety Pins by Luxurecourt, 4 Assorted Sizes of Durable, Silver Small and Large Safety Pins Bulk, Rust-Resistant Nickel Plated Steel, Sharp Edge Safety Pins for Clothes, Sewing, Arts & Craft",https://m.media-amazon.com/images/I/71L1cLv4oaL._AC_UL320_.jpg,https://www.amazon.com/dp/B0992HY6KY,4.5,0,5.99,10.55,6,False,7000
